"","short","long","vartest","ttest","stockcode"
"54153",30,200,0.0164487268854597,2.66746536777331e-06,"600091.ss"
"49153",28,33,4.05455088118567e-08,0.000241043338619259,"600093.ss"
"54154",30,200,0.143120491058658,0.00921278322307266,"600094.ss"
"54155",30,200,3.0902422816858e-12,0.000119871374983468,"600095.ss"
"2",1,7,6.23591060669187e-29,0.00242580040262496,"600096.ss"
"54156",30,200,0.24068471495683,1.05308351716723e-06,"600097.ss"
"42331",24,29,0.185043755177074,9.92393045385924e-06,"600098.ss"
"1911",11,21,0.000183119043564191,1.12854333186269e-07,"600099.ss"
"3534",19,200,0.00144092823283741,0.000921890681226776,"600100.ss"
"3000",16,200,0.000113239238641134,8.57165404434248e-07,"600101.ss"
"47451",26,200,5.82923035185532e-12,5.52599766907254e-09,"600103.ss"
"3087",17,108,0.45696555786055,7.57670731897374e-11,"600104.ss"
"876",5,111,3.41797521549812e-05,0.000210948088838343,"600105.ss"
"4746",27,32,0.745883030863202,2.29136667697588e-09,"600106.ss"
"52511",30,36,0.806781499504302,0.000116921619853441,"600107.ss"
"3709",20,199,3.90169525190007e-05,0.00109620850507612,"600108.ss"
"49154",28,33,9.38483291232833e-13,0.00238912862305854,"600109.ss"
"7761",5,11,0.0748937686525383,0.00288690259242646,"600110.ss"
"3358",19,24,1.23907579982936e-16,0.0610057608515915,"600111.ss"
"2458",14,19,0.117044775422998,0.00474997527243347,"600112.ss"
"54157",30,200,3.67938387198554e-05,0.000151499363417158,"600113.ss"
"2062",11,172,0.394849563701932,1.72810213797267e-08,"600114.ss"
"4405",25,30,8.21698979119694e-15,3.0728318866859e-05,"600115.ss"
"13451",8,13,0.092617807559299,0.0101381011376589,"600116.ss"
"20913",12,17,0.739480929413814,0.00370686179605951,"600117.ss"
"52505",30,35,0.986660517533068,8.39289878522913e-07,"600118.ss"
"1344",7,200,0.0011271646674434,2.69449438328738e-06,"600119.ss"
"21",1,7,0.00360954633426915,0.000167177579392777,"600120.ss"
"1156",7,12,0.590074180030867,0.0150285533486525,"600121.ss"
"5356",30,141,0.149607381832598,2.60972316855224e-07,"600122.ss"
"1157",7,13,0.0571785382779584,1.22489725569569e-05,"600123.ss"
"40602",23,28,0.000311476177349945,1.07814968899537e-09,"600125.ss"
"1098",6,143,0.526385499777661,5.97351773362651e-05,"600126.ss"
"19051",10,200,0.000463630994744516,1.28665724565079e-05,"600127.ss"
"52506",30,35,0.0313353371212193,0.00529419699179821,"600128.ss"
"4483",25,108,2.37767208929724e-11,0.00441584361487952,"600129.ss"
"2276",13,19,0.000930225352719778,0.00137210350068396,"600130.ss"
"4749",27,35,0.0578659893838651,3.5199317683634e-10,"600131.ss"
"5357",30,142,1.789444882494e-05,6.35818986414278e-05,"600132.ss"
"50832",29,34,0.0758563648095099,8.9968365093599e-08,"600133.ss"
"44051",25,30,0.017860666562014,8.63213801856406e-06,"600135.ss"
"1720",10,15,0.00276363438758631,0.101231241548467,"600136.ss"
"5305",30,90,0.620034092706488,3.79438164340171e-07,"600137.ss"
"5282",30,67,0.436080364619902,0.00345077930117683,"600138.ss"
"2283",13,26,0.0763815851836666,0.00187009511833453,"600139.ss"
"35341",19,200,0.368798865135223,0.0043379603577349,"600141.ss"
"24581",14,19,0.668614647925458,0.00018026347860666,"600143.ss"
"5267",30,52,0.553859518426456,0.00600293525611114,"600145.ss"
"5294",30,79,0.27768888420612,5.83995673957349e-06,"600146.ss"
"3902",22,43,0.910442053904249,8.0804120251901e-06,"600148.ss"
"4068",23,36,0.43449715339415,7.13739307573329e-08,"600149.ss"
"2915",16,115,0.73012126773141,8.40737884741616e-08,"600150.ss"
"4034",22,175,0.340570982871108,4.32951300382598e-06,"600151.ss"
"965",5,200,0.000684484051112932,0.0370255319328651,"600152.ss"
"5283",30,68,2.02666453706851e-07,8.79334980386318e-06,"600153.ss"
"5260",30,45,0.00612375101911981,5.65882236749044e-05,"600155.ss"
"4415",25,40,0.213338908753892,2.08837511005674e-08,"600156.ss"
"8",1,13,0.0689695874653492,0.0115159732448383,"600157.ss"
"50833",29,34,0.00967854372987608,0.00036897334222501,"600158.ss"
"4237",24,33,0.405275810760688,0.000455283032905444,"600159.ss"
"49155",28,33,0.00103360434131157,7.06814770343484e-06,"600160.ss"
"5284",30,69,1.0146529181226e-06,0.000414585392980346,"600161.ss"
"52821",30,67,0.079602101060555,0.000103053365570685,"600162.ss"
"4918",28,36,0.000322435359963125,5.91717885105363e-05,"600163.ss"
"4109",23,77,0.144814449155145,5.7270671022007e-10,"600165.ss"
"397",3,15,0.0457829783631076,7.09427245975994e-05,"600166.ss"
"2275",13,18,0.000930172715230806,0.03634500013292,"600167.ss"
"47471",27,33,0.698424950015181,2.93562551321545e-05,"600168.ss"
"54158",30,200,0.238530866861188,0.00723328234529594,"600169.ss"
"40603",23,28,0.861667855677426,0.00221241477714835,"600170.ss"
"4676",26,131,0.0276912924482625,0.00025563763270973,"600171.ss"
"1657",9,138,0.125219077364698,1.69237872823356e-06,"600172.ss"
"144",1,6,5.889981523143e-06,1.24690719719668e-06,"600173.ss"
"5352",30,137,1.57371131013127e-08,0.112079248255543,"600175.ss"
"11561",7,12,0.00077997515540007,0.000695148005865527,"600176.ss"
"24582",14,19,0.00152730304974602,1.66770327801688e-08,"600177.ss"
"7741",4,200,4.34870646210136e-05,3.4946283152946e-06,"600178.ss"
"47461",27,32,7.00753644446511e-06,4.12388068747404e-09,"600179.ss"
"150",1,6,1.48577563597247e-07,0.0023581424582484,"600180.ss"
"2642",15,22,0.000204532565893059,2.6384163653373e-06,"600182.ss"
"49156",28,33,2.54942733590724e-11,2.44416364917816e-06,"600183.ss"
"4754",27,40,0.164037697878576,0.00314140582548562,"600184.ss"
"47462",27,32,6.03341422091542e-11,0.000183361698807157,"600185.ss"
"54159",30,200,0.0471362593298164,0.000141192960958265,"600186.ss"
"33581",19,24,0.32316693820569,2.24747976121544e-05,"600187.ss"
"3454",19,120,2.01552299932852e-15,0.000467205210579072,"600188.ss"
"52507",30,35,0.484936638079347,0.000267276175736977,"600189.ss"
"1529",8,197,0.304968859976694,9.174731427078e-11,"600190.ss"
"13",1,18,0.0181025764383722,0.000335079600945978,"600191.ss"
"49157",28,33,0.735595576841765,0.00124957630405794,"600192.ss"
"50834",29,34,5.14705139265816e-09,7.31653601813865e-07,"600193.ss"
"19061",11,16,0.00504779677592548,1.72835483574783e-05,"600195.ss"
"625",4,51,0.767478542799998,0.000113808626889578,"600196.ss"
"42332",24,29,0.243977248467757,1.11811613261064e-07,"600197.ss"
"4576",26,31,6.77810687953204e-12,6.95447562210517e-05,"600198.ss"
"20914",12,17,3.63443026409412e-05,0.000542273563694046,"600199.ss"
"5369",30,154,0.35196634198163,0.000306091215750433,"600200.ss"
"1727",10,22,0.0140871598206487,0.000420057092169795,"600201.ss"
"1773",10,68,0.0113054183247765,0.00100250335145749,"600202.ss"
"22",1,7,5.30917679823452e-07,0.000151334989369909,"600203.ss"
"47463",27,32,0.00295146666434548,0.00173780342539419,"600206.ss"
"173",1,6,0.0059319210981144,0.000157418484361341,"600207.ss"
"5364",30,149,0.0534705991572293,1.65794377941247e-10,"600208.ss"
"131",1,18,0.679090860947162,7.82719935218641e-10,"600209.ss"
"52508",30,35,0.000402730407340789,0.015157753265246,"600210.ss"
"5311",30,96,0.138048958839859,0.036337039842979,"600211.ss"
"206",2,17,0.108954354052471,0.00315752328767841,"600212.ss"
"50835",29,34,0.00256635996779608,0.0132394552108444,"600213.ss"
"52509",30,35,0.0211334136559054,0.00218473874427913,"600215.ss"
"49158",28,33,0.936921384032925,1.96108995924689e-05,"600216.ss"
"182",1,6,1.66444557929219e-21,3.44462953965009e-05,"600217.ss"
"1501",1,155,0.136146950728289,1.03537692927452e-05,"600218.ss"
"5334",30,119,0.684259832617212,0.00277512118970979,"600219.ss"
"50836",29,34,0.0184340882433085,1.08655180973863e-08,"600220.ss"
"22751",13,18,0.187364638636174,0.00026040335943033,"600221.ss"
"541510",30,200,0.0302867871684815,2.52590571247743e-06,"600222.ss"
"45761",26,31,0.0848747148771154,0.00219585271519534,"600223.ss"
"4354",24,150,3.36422481324156e-07,1.21271568095953e-05,"600225.ss"
"4628",26,83,3.26385539928253e-07,2.26148108607737e-11,"600226.ss"
"13452",8,13,0.371780722292251,0.00217137544973708,"600227.ss"
"192",1,6,5.46846291898671e-09,3.45819660821476e-05,"600228.ss"
"2021",11,131,0.000759633305097987,4.62070170623302e-06,"600229.ss"
"47464",27,32,0.936606563082605,8.20461330517155e-06,"600230.ss"
"45762",26,31,0.177379107757701,4.01470151466634e-05,"600231.ss"
"11562",7,12,0.663272365642242,0.00334787836202637,"600232.ss"
"3862",21,177,0.000792613618779908,0.00594584703883224,"600233.ss"
"198",1,6,0.000130951198341775,3.80338186956694e-05,"600234.ss"
"525010",30,35,0.20175947870287,2.95878075443999e-05,"600235.ss"
"47465",27,32,0.162287634432488,0.0361651955247587,"600236.ss"
"742",4,168,0.137535536037195,1.52955263442356e-05,"600237.ss"
"5",1,10,0.0105679878296138,0.00741185260968469,"600238.ss"
"3716",21,31,1.71844296570356e-08,0.00012154821779983,"600239.ss"
"1533",9,14,0.00266833127209818,0.13104583681966,"600240.ss"
"522",3,140,0.000382748349595049,3.86598103889112e-07,"600241.ss"
"2061",1,6,0.22598187116253,4.18120203045804e-05,"600242.ss"
"4134",23,102,9.03941330900024e-06,0.000530549570492573,"600243.ss"
"4811",27,97,0.194894875436018,0.000120449269649879,"600246.ss"
"23",1,7,0.00419461241477441,1.557908002357e-06,"600247.ss"
"44052",25,30,0.00729384166170873,1.73406633530497e-07,"600248.ss"
"47466",27,32,0.0116176426564194,0.00373117773490804,"600249.ss"
"3151",17,172,8.1062802826606e-09,3.96927203003783e-10,"600250.ss"
"392",3,10,0.96320465066746,2.24465115838974e-05,"600251.ss"
"47491",27,35,0.00603392749897802,0.000474938738728965,"600252.ss"
"541511",30,200,4.58386997130393e-06,0.0513594334636221,"600255.ss"
"1019",6,64,0.75963920775795,0.015012245520097,"600256.ss"
"4002",22,143,0.0217340869412249,0.0022040930827568,"600257.ss"
"5380",30,165,0.796410512121113,0.00082355371844059,"600258.ss"
"11563",7,12,0.0218214389171933,5.31572908249949e-07,"600259.ss"
"49159",28,33,0.0126564650031744,0.00445857510539776,"600260.ss"
"541512",30,200,0.173700921068794,6.64684829854489e-05,"600261.ss"
"525011",30,35,0.482571640162625,0.00891363689401826,"600262.ss"
"5261",30,46,0.599487583852281,9.06182475186586e-05,"600265.ss"
"5375",30,160,0.116110727945997,0.000703881597551599,"600266.ss"
"5361",30,146,0.000788147584016559,0.000972840112639529,"600267.ss"
"44053",25,30,0.0287153753138909,4.13753730577036e-08,"600268.ss"
"44054",25,30,0.721697617532321,9.58986684677314e-06,"600269.ss"
"3893",22,34,0.0906588073031356,2.85971909912172e-09,"600270.ss"
"571",1,62,0.00621694865620825,0.000304104763872813,"600271.ss"
"615",4,41,0.454025380007726,8.16699012866046e-05,"600272.ss"
"525012",30,35,0.529569660441805,0.0673777727009181,"600273.ss"
"47467",27,32,0.401279578902048,1.42053681996747e-08,"600275.ss"
"5085",29,36,0.610256310156226,0.000251477146375767,"600276.ss"
"5253",30,38,5.11153207955884e-13,0.016886759154871,"600277.ss"
"1245",7,101,0.983231881164846,2.78387844423393e-06,"600278.ss"
"5275",30,60,0.000972073163400243,0.0695328466578636,"600279.ss"
"50837",29,34,0.0750275176343904,5.76178213265101e-05,"600280.ss"
"11564",7,12,9.23152390086557e-08,0.0314771400634804,"600281.ss"
"5281",30,66,0.000372697854554532,0.0180806531995149,"600282.ss"
"4240",24,36,0.769557266635723,6.25741660887328e-05,"600283.ss"
"47492",27,35,0.00416210899967317,5.01464480522143e-05,"600284.ss"
"491510",28,33,0,0.00572680707869664,"600285.ss"
"4579",26,34,1.01319196108562e-05,0.00443766308821586,"600287.ss"
"13441",7,200,0.226441004614117,0.00026673231982582,"600288.ss"
"4298",24,94,0.240095654707771,2.72722790732803e-05,"600289.ss"
"22752",13,18,0.713535207069371,0.000491121945276735,"600290.ss"
"5329",30,114,9.065642519e-26,0.00102009941751446,"600291.ss"
"42333",24,29,0.0690627606845133,0.00327662395084161,"600292.ss"
"45763",26,31,7.1532331471568e-09,2.88516971897121e-10,"600293.ss"
"44055",25,30,0.496913168900703,0.00256281855383038,"600295.ss"
"47468",27,32,7.01230185029544e-11,2.67586937793515e-06,"600297.ss"
"45764",26,31,0.00533406313141915,0.000259451346572707,"600298.ss"
"641",1,69,0.826239777770506,3.65807544519521e-06,"600299.ss"
"42334",24,29,0.117210784765988,1.89288573023604e-06,"600300.ss"
"52512",30,36,0.237912860174186,5.38129605859239e-07,"600301.ss"
"42335",24,29,0.405506355075389,0.00420806028617471,"600302.ss"
"5309",30,94,7.34349239696556e-09,4.22649320051301e-07,"600303.ss"
"44056",25,30,2.71759834224987e-05,8.59256984646691e-05,"600305.ss"
"2054",11,164,5.29490907165536e-08,7.01881407645228e-07,"600306.ss"
"19062",11,16,0.0116894026376727,0.000849191608894741,"600307.ss"
"5285",30,70,0.0365050141773609,0.000148576339951464,"600308.ss"
"30011",17,22,2.61279886615284e-11,0.00428249863155007,"600309.ss"
"2821",16,21,0.517538499706967,0.00569193596524035,"600310.ss"
"15",1,20,0.000198111382683663,0.00317356595466639,"600311.ss"
"153",1,158,0.0681093262091483,0.000443259297984218,"600312.ss"
"491511",28,33,0.681771922996767,7.24624198343812e-08,"600313.ss"
"4720",26,175,0.0181843455540193,0.00915154940056278,"600315.ss"
"49161",28,34,0.449048500839377,6.44840033934091e-07,"600316.ss"
"50838",29,34,0.688452170103426,5.47054644983799e-12,"600317.ss"
"52601",30,45,2.07248320431691e-07,0.000414108889044916,"600318.ss"
